Date,Price
2023-01-03,9.60
2023-01-04,9.77
2023-01-05,9.48
2023-01-06,9.55
2023-01-09,9.97
2023-01-10,9.84
2023-01-11,10.32
2023-01-12,10.68
2023-01-13,10.82
2023-01-17,10.71
2023-01-18,10.71
2023-01-19,10.41
2023-01-20,10.83
2023-01-23,11.75
2023-01-24,11.63
2023-01-25,11.59
2023-01-26,12.54
2023-01-27,12.49
2023-01-30,11.94
2023-01-31,12.49
2023-02-01,12.46
2023-02-02,12.34
2023-02-03,12.05
2023-02-06,12.08
2023-02-07,12.36
2023-02-08,11.79
2023-02-09,12.59
2023-02-10,12.45
2023-02-13,13.16
2023-02-14,13.89
2023-02-15,14.18
2023-02-16,13.05
2023-02-17,12.58
2023-02-21,12.11
2023-02-22,11.59
2023-02-23,11.60
2023-02-24,11.53
2023-02-27,10.49
2023-02-28,10.38
2023-03-01,10.55
2023-03-02,10.24
2023-03-03,10.69
2023-03-06,11.85
2023-03-07,11.83
2023-03-08,12.47
2023-03-09,12.13
2023-03-10,11.74
2023-03-13,11.81
2023-03-14,12.64
2023-03-15,12.25
2023-03-16,12.28
2023-03-17,11.90
2023-03-20,11.86
2023-03-21,11.88
2023-03-22,11.15
2023-03-23,11.47
2023-03-24,11.17
2023-03-27,11.16
2023-03-28,11.01
2023-03-29,11.71
2023-03-30,11.75
2023-03-31,11.70
2023-04-03,12.20
2023-04-04,11.18
2023-04-05,10.68
2023-04-06,11.11
2023-04-10,11.00
2023-04-11,10.75
2023-04-12,10.56
2023-04-13,10.27
2023-04-14,10.55
2023-04-17,10.63
2023-04-18,10.39
2023-04-19,10.49
2023-04-20,10.89
2023-04-21,10.44
2023-04-24,10.26
2023-04-25,9.61
2023-04-26,9.56
2023-04-27,9.34
2023-04-28,9.35
2023-05-01,9.34
2023-05-02,9.19
2023-05-03,9.14
2023-05-04,8.88
2023-05-05,10.47
2023-05-08,10.07
2023-05-09,9.94
2023-05-10,9.45
2023-05-11,9.73
2023-05-12,9.15
2023-05-15,9.69
2023-05-16,9.70
2023-05-17,9.96
2023-05-18,9.75
2023-05-19,9.73
2023-05-22,9.84
2023-05-23,9.64
2023-05-24,9.23
2023-05-25,9.88
2023-05-26,10.71
2023-05-30,10.21
2023-05-31,10.11
2023-06-01,10.01
2023-06-02,9.96
2023-06-05,9.73
2023-06-06,10.33
2023-06-07,10.90
2023-06-08,10.59
2023-06-09,10.69
2023-06-12,10.53
2023-06-13,10.97
2023-06-14,11.41
2023-06-15,11.42
2023-06-16,11.64
2023-06-20,11.75
2023-06-21,11.80
2023-06-22,12.51
2023-06-23,11.77
2023-06-26,11.93
2023-06-27,12.77
2023-06-28,12.85
2023-06-29,13.38
2023-06-30,13.08
2023-07-03,14.83
2023-07-05,13.87
2023-07-06,13.54
2023-07-07,13.40
2023-07-10,13.19
2023-07-11,13.05
2023-07-12,13.17
2023-07-13,13.90
2023-07-14,13.33
2023-07-17,13.52
2023-07-18,13.50
2023-07-19,13.21
2023-07-20,12.87
2023-07-21,12.97
2023-07-24,12.78
2023-07-25,12.74
2023-07-26,12.30
2023-07-27,12.39
2023-07-28,12.76
2023-07-31,13.10
2023-08-01,12.74
2023-08-02,11.99
2023-08-03,11.97
2023-08-04,12.54
2023-08-07,13.53
2023-08-08,13.60
2023-08-09,13.24
2023-08-10,13.89
2023-08-11,13.51
2023-08-14,13.79
2023-08-15,13.45
2023-08-16,12.98
2023-08-17,13.09
2023-08-18,13.01
2023-08-21,13.73
2023-08-22,14.63
2023-08-23,16.36
2023-08-24,15.36
2023-08-25,15.52
2023-08-28,15.30
2023-08-29,16.20
2023-08-30,17.23
2023-08-31,17.56
2023-09-01,18.43
2023-09-05,19.63
2023-09-06,19.34
2023-09-07,18.72
2023-09-08,18.73
2023-09-11,18.54
2023-09-12,17.79
2023-09-13,17.59
2023-09-14,16.74
2023-09-15,15.52
2023-09-18,15.72
2023-09-19,15.96
2023-09-20,15.77
2023-09-21,15.52
2023-09-22,15.66
2023-09-25,16.63
2023-09-26,16.74
2023-09-27,17.62
2023-09-28,18.27
2023-09-29,18.11
2023-10-02,18.62
2023-10-03,17.15
2023-10-04,18.00
2023-10-05,17.30
2023-10-06,18.61
2023-10-09,18.22
2023-10-10,19.68
2023-10-11,20.07
2023-10-12,19.80
2023-10-13,19.00
2023-10-16,18.63
2023-10-17,19.75
2023-10-18,19.24
2023-10-19,17.48
2023-10-20,17.86
2023-10-23,18.09
2023-10-24,18.75
2023-10-25,18.21
2023-10-26,17.56
2023-10-27,13.71
2023-10-30,12.81
2023-10-31,13.60
2023-11-01,13.58
2023-11-02,14.54
2023-11-03,15.10
2023-11-06,15.00
2023-11-07,15.80
2023-11-08,17.69
2023-11-09,16.31
2023-11-10,17.03
2023-11-13,17.23
2023-11-14,17.84
2023-11-15,18.24
2023-11-16,17.93
2023-11-17,17.68
2023-11-20,18.66
2023-11-21,17.50
2023-11-22,17.62
2023-11-24,17.30
2023-11-27,17.67
2023-11-28,17.20
2023-11-29,16.70
2023-11-30,16.64
2023-12-01,16.86
2023-12-04,16.62
2023-12-05,16.03
2023-12-06,15.86
2023-12-07,16.12
2023-12-08,16.00
2023-12-11,17.25
2023-12-12,17.00
2023-12-13,17.67
2023-12-14,17.89
2023-12-15,17.90
2023-12-18,18.30
2023-12-19,18.65
2023-12-20,17.80
2023-12-21,18.56
2023-12-22,18.52
2023-12-26,19.88
2023-12-27,19.79
2023-12-28,19.96
2023-12-29,19.54
